2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:24 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:25 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
